Designator,Mid X,Mid Y,Rotation,Layer
_9,175.2,-112.2,0.0,top
_8,112.7,-74.8,0.0,top
_7,110.6,-67.6,0.0,top
_6,110.6,-112.2,0.0,top
_5,175.3,-101.4,0.0,top
_4,175.1,-67.8,0.0,top
_3,175.4,-86.1,0.0,top
_2,112.6,-97.9,0.0,top
,170.8,-74.6,0.0,top
C1,140.0,-84.7,0.0,top
C2,140.0,-82.9,0.0,top
C3,140.0,-88.7,0.0,top
C4,140.0,-86.9,0.0,top
J2,113.2,-87.8,270.0,top
U1,132.2,-86.8,0.0,top
